from_experiment,to_experiment,metric,baseline,candidate,delta,relative_change_percent,improvement,direction
A,B,recall_at_5,0.7355242566510172,0.8497652582159625,0.11424100156494532,15.531914893617035,0.11424100156494532,higher_is_better
A,B,mrr,0.6464714211193086,0.7507731574632983,0.10430173634398976,16.13400576368874,0.10430173634398976,higher_is_better
A,B,answer_correctness,0.5846986896679481,0.5644848502203175,-0.020213839447630666,-3.457137805304499,-0.020213839447630666,higher_is_better
A,B,faithfulness,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,citation_precision,0.0,0.0,0.0,,0.0,higher_is_better
A,B,hallucination,0.06451612903225806,0.0967741935483871,0.03225806451612903,50.0,-0.03225806451612903,lower_is_better
A,B,total_latency_ms,24.87602822580645,34.72979032258064,9.85376209677419,39.611476588340075,-9.85376209677419,lower_is_better
A,B,recall_at_3,0.7057902973395932,0.8043818466353678,0.09859154929577463,13.968957871396892,0.09859154929577463,higher_is_better
A,B,recall_at_10,0.812206572769953,0.9014084507042254,0.08920187793427237,10.98265895953758,0.08920187793427237,higher_is_better
A,B,precision_at_5,0.15492957746478872,0.17934272300469484,0.024413145539906117,15.757575757575767,0.024413145539906117,higher_is_better
A,B,ndcg_at_10,0.6834964622685851,0.7847396584592286,0.10124319619064348,14.812541363361031,0.10124319619064348,higher_is_better
A,B,citation_coverage,0.0,0.0,0.0,,0.0,higher_is_better
A,B,citation_recall,0.0,0.0,0.0,,0.0,higher_is_better
A,B,refusal_correct,0.8991935483870968,0.8870967741935484,-0.012096774193548376,-1.3452914798206266,-0.012096774193548376,higher_is_better
A,B,unsupported_claim_rate,0.0,0.0,0.0,,-0.0,lower_is_better
A,B,retrieval_latency_ms,21.116326612903226,29.854153225806453,8.737826612903227,41.37948220389781,-8.737826612903227,lower_is_better
A,B,estimated_cost_usd,0.0,0.0,0.0,,-0.0,lower_is_better
B,C,recall_at_5,0.8497652582159625,0.9139280125195618,0.0641627543035993,7.550644567219143,0.0641627543035993,higher_is_better
B,C,mrr,0.7507731574632983,0.7993740219092332,0.04860086444593492,6.4734419395262925,0.04860086444593492,higher_is_better
B,C,answer_correctness,0.5644848502203175,0.5974184460615702,0.03293359584125277,5.834274529847674,0.03293359584125277,higher_is_better
B,C,faithfulness,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,citation_precision,0.0,0.0,0.0,,0.0,higher_is_better
B,C,hallucination,0.0967741935483871,0.08870967741935484,-0.008064516129032251,-8.333333333333325,0.008064516129032251,lower_is_better
B,C,total_latency_ms,34.72979032258064,27.905592741935486,-6.824197580645155,-19.64940622232376,6.824197580645155,lower_is_better
B,C,recall_at_3,0.8043818466353678,0.8818466353677622,0.07746478873239437,9.63035019455253,0.07746478873239437,higher_is_better
B,C,recall_at_10,0.9014084507042254,0.9366197183098591,0.035211267605633756,3.9062499999999947,0.035211267605633756,higher_is_better
B,C,precision_at_5,0.17934272300469484,0.19342723004694837,0.01408450704225353,7.853403141361262,0.01408450704225353,higher_is_better
B,C,ndcg_at_10,0.7847396584592286,0.8321540169274793,0.047414358468250706,6.042049481906506,0.047414358468250706,higher_is_better
B,C,citation_coverage,0.0,0.0,0.0,,0.0,higher_is_better
B,C,citation_recall,0.0,0.0,0.0,,0.0,higher_is_better
B,C,refusal_correct,0.8870967741935484,0.875,-0.012096774193548376,-1.3636363636363624,-0.012096774193548376,higher_is_better
B,C,unsupported_claim_rate,0.0,0.0,0.0,,-0.0,lower_is_better
B,C,retrieval_latency_ms,29.854153225806453,21.990854838709676,-7.863298387096776,-26.33904344102985,7.863298387096776,lower_is_better
B,C,estimated_cost_usd,0.0,0.0,0.0,,-0.0,lower_is_better
C,D,recall_at_5,0.9139280125195618,0.9139280125195618,0.0,0.0,0.0,higher_is_better
C,D,mrr,0.7993740219092332,0.7993740219092332,0.0,0.0,0.0,higher_is_better
C,D,answer_correctness,0.5974184460615702,0.5341936302406857,-0.06322481582088457,-10.583003627974453,-0.06322481582088457,higher_is_better
C,D,faithfulness,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,citation_precision,0.0,0.9530516431924883,0.9530516431924883,,0.9530516431924883,higher_is_better
C,D,hallucination,0.08870967741935484,0.08870967741935484,0.0,0.0,-0.0,lower_is_better
C,D,total_latency_ms,27.905592741935486,47.231044354838716,19.32545161290323,69.25296943741913,-19.32545161290323,lower_is_better
C,D,recall_at_3,0.8818466353677622,0.8818466353677622,0.0,0.0,0.0,higher_is_better
C,D,recall_at_10,0.9366197183098591,0.9366197183098591,0.0,0.0,0.0,higher_is_better
C,D,precision_at_5,0.19342723004694837,0.19342723004694837,0.0,0.0,0.0,higher_is_better
C,D,ndcg_at_10,0.8321540169274793,0.8321540169274793,0.0,0.0,0.0,higher_is_better
C,D,citation_coverage,0.0,0.8020427711314411,0.8020427711314411,,0.8020427711314411,higher_is_better
C,D,citation_recall,0.0,0.827073552425665,0.827073552425665,,0.827073552425665,higher_is_better
C,D,refusal_correct,0.875,0.8709677419354839,-0.0040322580645161255,-0.46082949308755716,-0.0040322580645161255,higher_is_better
C,D,unsupported_claim_rate,0.0,0.0,0.0,,-0.0,lower_is_better
C,D,retrieval_latency_ms,21.990854838709676,20.593584677419354,-1.3972701612903222,-6.353869240366045,1.3972701612903222,lower_is_better
C,D,estimated_cost_usd,0.0,0.0,0.0,,-0.0,lower_is_better
